fuck,bless
fucking,loving
bitch,a nice being
shit,cake
ass,hand
suck,hold
sucks,holds
bastard,guy
idiot,genius
dick,snail
damn,darn
hell,heck
piss,tinkle
crap,darn
bloody,jolly
screw,fix
moron,scholar
douchebag,sweetheart
wanker,goofball
son of a bitch,dear friend
slut,sweetheart
prick,sweetheart
whore,sweetheart
cunt,dear friend
jackass,dear friend
twat,dear friend
bollocks,nonsense
arsehole,buddy
bullshit,baloney
motherfucker,buddy
cock,rooster
pecker,woodpecker
twerp,buddy
dolt,smarty-pants
knucklehead,sweetheart
scumbag,friend
jerk,goofball
nimrod,genius
schmuck,sweetheart
bonehead,smarty-pants
dipshit,silly goose
douchecanoe,goofball
numbnuts,genius
dingus,sweetheart
knobhead,smarty-pants
bugger,dear friend
frickin,darn
feck,darn
dagnabbit,darn
balderdash,nonsense
cancer,a nice day
faggot,nugget
fat,a pure hearted person
rape,love
kys,kiss in the forehead
loser,based
fatty,funny
tetas,aspiraciones
autist,a beautiful and kind person
dog,champion
nigger,gengar
rope,milkshake
violar,querer
puta,cura
polla,gallina
maricon,gusanito loco
maricón,gusanito loco
mueras,encuentres cosas bonitas
manco,valiente
gilipollas,domador de gallinas
puto,monje
feo,hermoso
hitler,ghandi
guarra,ser de luz
